id,x,y
216,43.113401,132.008523,
217,43.105646,132.000626,
218,43.109976,132.002146,
219,43.103352,131.997746,
220,43.122975,132.018006,
221,43.115179,132.013844,
222,43.079011,131.913524,
223,43.085367,131.911503,
224,43.088972,131.915117,
225,43.08322,131.909857,
226,43.082666,131.912534,
227,43.090219,131.91525,
228,43.092602,131.867637,
229,43.095619,131.864211,
230,43.097314,131.86705,
231,43.098472,131.866133,
232,43.102365,131.873146,
233,43.109446,131.881613,
234,43.114147,131.884737,
235,43.114551,131.903953,
236,43.113118,131.901604,
237,43.112882,131.888518,
238,43.112254,131.892464,
239,43.095117,131.868774,
240,43.112356,131.894661,
241,43.113602,131.888231,
242,43.131604,131.937005,
243,43.080363,131.846444,
244,43.110522,131.872309,
245,43.11329,131.870489,
246,43.09994,131.860634,
247,43.093131,131.856451,
248,43.093303,131.860087,
249,43.092019,131.861259,
250,43.090528,131.854987,
251,43.087936,131.855674,
252,43.087305,131.858118,
253,43.086235,131.855809,
254,43.083925,131.846629,
255,43.085918,131.852268,
256,43.088103,131.853396,
257,43.082467,131.848786,
258,43.082229,131.855894,
259,43.084887,131.856716,
260,43.0919,131.862892,
261,43.085569,131.859279,
262,43.090157,131.862725,
263,43.137239,131.88975,
264,43.124602,131.877636,
265,43.126525,131.879159,
266,43.129573,131.885116,
267,43.134216,131.886546,
268,43.133397,131.888063,
269,43.139577,131.896198,
270,43.138666,131.900702,
271,43.136492,131.890387,
272,43.139673,131.89323,
273,43.138128,131.90531,
274,43.139633,131.906444,
275,43.135043,131.913842,
276,43.136782,131.915308,
277,43.133238,131.920247,
278,43.133164,131.912966,
279,43.115383,131.919437,
280,43.116466,131.930806,
281,43.113816,131.922922,
282,43.113605,131.925455,
283,43.113106,131.9273,
284,43.112103,131.929512,
285,43.111951,131.935174,
286,43.11332,131.932249,
287,43.117197,131.935567,
288,43.113389,131.92934,
289,43.114926,131.928367,
290,43.115525,131.925632,
291,43.115004,131.926762,
292,43.118066,131.93164,
293,43.119754,131.934113,
294,43.115191,131.934407,
295,43.110613,131.921776,
296,43.11038,131.929366,
297,43.110535,131.912989,
298,43.108754,131.927021,
299,43.121742,131.902238,
300,43.122831,131.893499,
301,43.124548,131.899782,
302,43.120959,131.8994,
303,43.123743,131.903091,
304,43.122374,131.897545,
305,43.127746,131.929304,
306,43.106928,131.934239,
307,43.109205,131.937596,
308,43.108012,131.938362,
309,43.126592,131.931736,
310,43.124181,131.933094,
311,43.115085,131.931841,
312,43.142341,131.899796,
313,43.144761,131.902464,
314,43.143342,131.906778,
315,43.137309,131.912336,
316,43.148833,131.915524,
317,43.149885,131.912049,
318,43.150193,131.908383,
319,43.14869,131.908867,
320,43.153401,131.910686,
321,43.154554,131.914323,
322,43.149892,131.916774,
323,43.152066,131.912538,
324,43.146628,131.907741,
325,43.147961,131.919193,
326,43.15569,131.912472,
327,43.155454,131.918227,
328,43.164761,131.926076,
329,43.158623,131.925465,
330,43.161754,131.937512,
331,43.162572,131.945007,
332,43.163496,131.955991,
333,43.094916,131.899536,
334,43.097069,131.896584,
335,43.097653,131.899999,
